Date,Year,MonthNo,MonthName,MonthShort,Day,DayName,Week,Quarter,IsToday,IsWeekend,YearMonth
2026-05-01,2026,5,May,MEI,1,Friday,18,Q2,FALSE,FALSE,2026-05
2026-05-02,2026,5,May,MEI,2,Saturday,18,Q2,FALSE,TRUE,2026-05
2026-05-03,2026,5,May,MEI,3,Sunday,18,Q2,FALSE,TRUE,2026-05
2026-05-04,2026,5,May,MEI,4,Monday,19,Q2,FALSE,FALSE,2026-05
2026-05-05,2026,5,May,MEI,5,Tuesday,19,Q2,FALSE,FALSE,2026-05
2026-05-06,2026,5,May,MEI,6,Wednesday,19,Q2,FALSE,FALSE,2026-05
2026-05-07,2026,5,May,MEI,7,Thursday,19,Q2,FALSE,FALSE,2026-05
2026-05-08,2026,5,May,MEI,8,Friday,19,Q2,FALSE,FALSE,2026-05
2026-05-09,2026,5,May,MEI,9,Saturday,19,Q2,FALSE,TRUE,2026-05
2026-05-10,2026,5,May,MEI,10,Sunday,19,Q2,FALSE,TRUE,2026-05
2026-05-11,2026,5,May,MEI,11,Monday,20,Q2,FALSE,FALSE,2026-05
2026-05-12,2026,5,May,MEI,12,Tuesday,20,Q2,FALSE,FALSE,2026-05
2026-05-13,2026,5,May,MEI,13,Wednesday,20,Q2,FALSE,FALSE,2026-05
2026-05-14,2026,5,May,MEI,14,Thursday,20,Q2,FALSE,FALSE,2026-05
2026-05-15,2026,5,May,MEI,15,Friday,20,Q2,FALSE,FALSE,2026-05
2026-05-16,2026,5,May,MEI,16,Saturday,20,Q2,FALSE,TRUE,2026-05
2026-05-17,2026,5,May,MEI,17,Sunday,20,Q2,FALSE,TRUE,2026-05
2026-05-18,2026,5,May,MEI,18,Monday,21,Q2,FALSE,FALSE,2026-05
2026-05-19,2026,5,May,MEI,19,Tuesday,21,Q2,FALSE,FALSE,2026-05
2026-05-20,2026,5,May,MEI,20,Wednesday,21,Q2,FALSE,FALSE,2026-05
2026-05-21,2026,5,May,MEI,21,Thursday,21,Q2,FALSE,FALSE,2026-05
2026-05-22,2026,5,May,MEI,22,Friday,21,Q2,FALSE,FALSE,2026-05
2026-05-23,2026,5,May,MEI,23,Saturday,21,Q2,FALSE,TRUE,2026-05
2026-05-24,2026,5,May,MEI,24,Sunday,21,Q2,FALSE,TRUE,2026-05
2026-05-25,2026,5,May,MEI,25,Monday,22,Q2,FALSE,FALSE,2026-05
2026-05-26,2026,5,May,MEI,26,Tuesday,22,Q2,FALSE,FALSE,2026-05
2026-05-27,2026,5,May,MEI,27,Wednesday,22,Q2,FALSE,FALSE,2026-05
2026-05-28,2026,5,May,MEI,28,Thursday,22,Q2,TRUE,FALSE,2026-05
2026-05-29,2026,5,May,MEI,29,Friday,22,Q2,FALSE,FALSE,2026-05
2026-05-30,2026,5,May,MEI,30,Saturday,22,Q2,FALSE,TRUE,2026-05
2026-05-31,2026,5,May,MEI,31,Sunday,22,Q2,FALSE,TRUE,2026-05
2026-06-01,2026,6,June,JUN,1,Monday,23,Q2,FALSE,FALSE,2026-06
2026-06-02,2026,6,June,JUN,2,Tuesday,23,Q2,FALSE,FALSE,2026-06
2026-06-03,2026,6,June,JUN,3,Wednesday,23,Q2,FALSE,FALSE,2026-06
2026-06-04,2026,6,June,JUN,4,Thursday,23,Q2,FALSE,FALSE,2026-06
2026-06-05,2026,6,June,JUN,5,Friday,23,Q2,FALSE,FALSE,2026-06
2026-06-06,2026,6,June,JUN,6,Saturday,23,Q2,FALSE,TRUE,2026-06
2026-06-07,2026,6,June,JUN,7,Sunday,23,Q2,FALSE,TRUE,2026-06
2026-06-30,2026,6,June,JUN,30,Tuesday,27,Q2,FALSE,FALSE,2026-06
