Date,NetworkID,NetworkName,AuthorizedAmount,NotIssuedAmount,NetCirculatingAmount,SnapshotTimestamp
2026-05-26,1,Kaia,19524663169,-2301547,19522361622,2026-05-26 10:48:00
2026-05-26,2,Polygon,216458522,-227164,216231358,2026-05-26 10:48:00
2026-05-26,3,Binance Smart Chain,5002177,0,5002177,2026-05-26 10:48:00
2026-05-26,4,Tron,1000391,0,1000391,2026-05-26 10:48:00
2026-05-26,5,Ethereum,4003243,-1001,4002242,2026-05-26 10:48:00
2026-05-28,1,Kaia,277619663381,-300422,277619362959,2026-05-28 15:00:14
2026-05-28,2,Polygon,216458522,-227164,216231358,2026-05-28 15:00:14
2026-05-28,3,Binance Smart Chain,5002177,0,5002177,2026-05-28 15:00:14
2026-05-28,4,Tron,1000391,0,1000391,2026-05-28 15:00:14
2026-05-28,5,Ethereum,4003243,-1001,4002242,2026-05-28 15:00:14
